objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
104,Magway,MMR009,Minbu,MMR009D002,Minbu,MMR009007,NA,Region,9.3,"2015,2016,2017,2018,2019,2020,2021",7,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.4666666666666667,7
297,Rakhine,MMR012,Mrauk-U,MMR012D005,Minbya,MMR012005,NA,State,9.3,"2010,2011,2015,2019",4,2010,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.3333333333333333,5
115,Chin,MMR004,Mindat,MMR004D002,Mindat,MMR004006,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
149,Magway,MMR009,Thayet,MMR009D003,Mindon,MMR009014,NA,Region,9.3,"2015,2016",2,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.13333333333333333,2
237,Yangon,MMR013,Yangon (North),MMR013D001,Mingaladon,MMR013002,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
137,Yangon,MMR013,Yangon (East),MMR013D002,Mingalartaungnyunt,MMR013022,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
127,Sagaing,MMR005,Kale,MMR005D005,Mingin,MMR005029,NA,Region,9.3,"2015,2016,2017,2018,2020",5,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.3333333333333333,5
251,Magway,MMR009,Thayet,MMR009D003,Minhla,MMR009013,NA,Region,9.3,"2015,2016,2017,2019,2020",5,NA,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.3333333333333333,5
23,Bago (West),MMR008,Thayarwady,MMR008D002,Minhla,MMR008009,NA,Region,9.3,"2015,2021",2,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13333333333333333,2
76,Kachin,MMR001,Mohnyin,MMR001D002,Mogaung,MMR001008,NA,State,9.3,"2015,2020",2,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.13333333333333333,2
263,Mandalay,MMR010,Pyinoolwin,MMR010D002,Mogoke,MMR010011,NA,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
232,Kachin,MMR001,Mohnyin,MMR001D002,Mohnyin,MMR001007,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
75,Kachin,MMR001,Bhamo,MMR001D003,Momauk,MMR001012,NA,State,9.3,"2015,2016",2,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.13333333333333333,2
110,Shan (East),MMR016,Tachileik,MMR016D003,Monghpyak,MMR016010,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
