state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,conflict_events,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,flood_count,flood_prob,vul_score_2019,unsafe_water_2019,poor_housing_2019,no_middle_school_2019,no_electricity_2019,no_id_card_2019,female_illiteracy_2019,child_dependency_2019
Bago (East),MMR111,Waw,MMR007004,178475.18666098692,41942,4193.833120107248,13,0,6,0,3,4,6,0.01062974159613914,4,0.26666666666666666,0.34276342434283025,0.3232867780373005,0.1717261044140728,0.6393209111648968,0.6687457615495815,0.3389966868284977,0.10526171773755298,0.4947694350107397
Bago (East),MMR111,Nyaunglebin,MMR007005,202272.3514078065,47534,4752.599775620112,25,5,10,2,6,2,16,0.02828702004236639,5,0.3333333333333333,0.2734077676507009,0.05422720553196898,0.17478392610223345,0.6154247596997788,0.5677005692252453,0.31217549728583593,0.06185482382516007,0.4010953595353845
Bago (East),MMR111,Kyauktaga,MMR007006,254724.6729889659,59860,8978.955277361709,14,0,2,3,6,3,5,0.02460959159108305,3,0.2,0.3068673942708417,0.08016551087970625,0.18449192964097533,0.661705846797249,0.5780660060062092,0.3670136969629356,0.1313058540849888,0.4521903097946692
Bago (East),MMR111,Daik-U,MMR007007,205361.95731276876,48260,7238.99100473608,13,0,5,1,5,2,5,0.01402623033002264,3,0.2,0.2905450022492762,0.09015108995993372,0.17531533446008316,0.6264761850120006,0.5794937540067662,0.33434279627427665,0.09875068365069402,0.4198301746304555
Bago (East),MMR111,Shwegyin,MMR007008,108964.63070530172,25607,2561.331221257637,5,0,1,0,3,1,11,0.00463708303468432,5,0.3333333333333333,0.3193609668635319,0.13874994936953114,0.1778934982381843,0.6431021712860094,0.6017544530362023,0.4277509178814206,0.08789896017259577,0.4777377849243115
Bago (East),MMR111,Taungoo,MMR007009,265720.30358739407,62444,6243.572894913285,30,7,7,3,9,4,15,0.03693656950899696,3,0.2,0.2359559594397256,0.03906733476450985,0.03304450501010696,0.5293971136603,0.3582528185559116,0.24141681773811183,0.11792986464768324,0.3615344326706784
Bago (East),MMR111,Yedashe,MMR007010,216579.6501669196,50896,5090.3782491838365,12,2,1,0,3,6,16,0.01218757657883127,2,0.13333333333333333,0.3134015280122679,0.06106162156029229,0.04439447471203644,0.6379279536845115,0.5122215253208349,0.33796128003377146,0.14290324774954563,0.40715663488864495
Bago (East),MMR111,Kyaukkyi,MMR007011,114913.6683962809,28928,8000,31,14,8,0,6,3,54,0.03342130866360345,5,0.3333333333333333,0.3685518163554711,0.05102194670660365,0.04519088016472895,0.7160677049087938,0.6421500909554386,0.43142622818264775,0.1540025291281511,0.5319720937868554
Bago (East),MMR111,Phyu,MMR007012,260870.42336309663,61305,6129.545084729588,15,2,5,2,4,2,8,0.02088624651922079,3,0.2,0.31463430396427305,0.02498438712890414,0.03922543604801333,0.6020716215091513,0.5317130739281203,0.3141406830718674,0.17065145119605934,0.4355629117413411
Bago (East),MMR111,Oktwin,MMR007013,162062.85939557207,38085,3807.522863995888,2,0,0,0,1,1,1,0.00168135930587886,3,0.2,0.32966728379566035,0.03675984357900581,0.03915682890104031,0.689250039446056,0.594768607303033,0.2972376991289336,0.17620109188536212,0.4269549490587059
Bago (East),MMR111,Htantabin,MMR007014,118915.85891380176,27945,2795.477397053038,13,5,2,0,2,4,17,0.01260598000769137,2,0.13333333333333333,0.3407627501473253,0.02871025357496364,0.0436509981636888,0.7071449028758192,0.5829117622363613,0.34755340623279607,0.14012842740489423,0.4605260035209832
Bago (West),MMR111,Pyay,MMR008001,255161.6996200912,59963,5995.700073931217,71,1,20,4,34,12,27,0.0683208896660775,4,0.26666666666666666,0.2382929627678082,0.0642396311271113,0.0939578294039292,0.5439271714128358,0.34533216855116583,0.21448088680124644,0.08672026581372567,0.3041886779856073
Bago (West),MMR111,Paukkhaung,MMR008002,126601.8493173508,29751,2974.856547959728,1,0,0,0,1,0,0,4.399321831995495e-4,1,0.06666666666666667,0.40789987153105967,0.1356422174246016,0.13871622613967405,0.7788846778559827,0.7501971850703765,0.2777142965068513,0.17536764864553395,0.3559214463505065
Bago (West),MMR111,Padaung,MMR008003,146230.53035058329,34364,3435.5825874756074,14,0,5,0,9,0,0,0.00734651437581486,4,0.26666666666666666,0.3114562962028048,0.16755155947161207,0.11847551380653264,0.619645960876352,0.5229340439527469,0.19502445524122125,0.12526260617538132,0.3372976497391428
Bago (West),MMR111,Paungde,MMR008004,139484.50209796958,32779,3278.114204676438,39,5,13,0,11,10,21,0.03095672221781613,1,0.06666666666666667,0.35199049574037966,0.14718858246562638,0.10990379274225671,0.740680338202806,0.6421027553095418,0.25889106810663387,0.13297107424771248,0.3176391977604811
Bago (West),MMR111,Thegon,MMR008005,132788.15900759524,31205,3121.478336622012,13,1,2,0,7,3,11,0.0099490830402196,1,0.06666666666666667,0.32226916557613156,0.0914307171639435,0.1068127459581726,0.6969898961549257,0.6157793095354348,0.21270170967770088,0.05781351054248378,0.29384212431262746
Bago (West),MMR111,Shwedaung,MMR008006,123372.31377179622,28992,2898.750647812207,7,1,1,0,3,2,2,0.00515175470573624,6,0.4,0.3129775993332491,0.09535371012122668,0.11450220452640106,0.6692674633985436,0.6175246113992872,0.2420373081823195,0.07323044668714612,0.3186738531277791
Bago (West),MMR111,Thayarwady,MMR008007,153216.87255117073,36006,3601.403540264511,20,0,5,0,15,0,0,0.00998610747501215,3,0.2,0.3183562698972627,0.04447885347518036,0.05569829267755733,0.6907388833166166,0.5702548858331026,0.3400180096862908,0.12292686654341224,0.4129094872275942
Bago (West),MMR111,Letpadan,MMR008008,179887.66484464705,42274,4226.639906829322,6,0,1,0,4,1,1,0.0036785808008813,3,0.2,0.33254492063042407,0.04915209695977472,0.0571907379166437,0.6685505112304788,0.6570782622338573,0.3734309841897509,0.12670923166782494,0.4315509990663118
Bago (West),MMR111,Minhla,MMR008009,124203.77975212738,29188,2919.2111911036827,9,2,2,0,5,0,6,0.0057369293877572,2,0.13333333333333333,0.3005207317422802,0.06201913410186444,0.0550458550779728,0.6769030468562047,0.619776416994908,0.27436304007406165,0.06997375480163479,0.36910193440660793
Bago (West),MMR111,Okpho,MMR008010,128433.10243988504,30182,3017.822103149499,8,1,2,1,3,1,1,0.01012481264500728,6,0.4,0.3061161547608446,0.05866090084171139,0.05614179133214117,0.693756786102063,0.6086437213044928,0.3181612062124476,0.10212385835914266,0.3569849517114414
Bago (West),MMR111,Zigon,MMR008011,68467.1675486599,16090,1609.021562895462,4,0,3,0,1,0,2,0.00275189390281141,2,0.13333333333333333,0.26538294067636736,0.07409268461225142,0.04843518648462033,0.6037292785566484,0.5456288764046519,0.2853085329315391,0.08132085017487287,0.3019924917872247
Bago (West),MMR111,Nattalin,MMR008012,174548.03087827645,41019,4102.121277946048,31,9,6,0,7,9,47,0.02967608053191977,3,0.2,0.30267323453286565,0.05554372485481883,0.05104353850295201,0.6939364148983529,0.6415761183612443,0.32533268353436484,0.06808257223942844,0.2964000382356094
Bago (West),MMR111,Monyo,MMR008013,129353.79891566635,30398,3040.1857368292294,7,1,1,1,3,1,2,0.00958723114130375,7,0.4666666666666667,0.3611722939892201,0.05405368868679615,0.06421863281147282,0.7138121695251899,0.6982707043927711,0.35176306251887646,0.08510321529928555,0.3737623123662874
Bago (West),MMR111,Gyobingauk,MMR008014,119075.0542295481,27983,2797.7362504699418,14,3,5,1,2,3,10,0.01652227156602988,3,0.2,0.2831336495410513,0.0567161917268493,0.05043364725493091,0.6501302618949678,0.602768858577061,0.28539417194641925,0.06051784199060305,0.2982641894194812
Chin,MMR004,Falam,MMR004001,51831.49727101556,30827,7707.251138876627,103,34,17,1,43,8,275,0.11569191193271572,1,0.06666666666666667,0.48130010084791613,0.3868990551954017,0.4233887896485025,0.5150388173492633,0.6748146542757723,0.2179912615452685,0.17646083169664328,0.6587728954066949
