state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,partners_2022
Rakhine,MMR012,Ponnagyun,MMR012002,134322.93214950498,36999.61783574795,0,9112,4
Rakhine,MMR012,Pauktaw,MMR012007,151097.64096202247,50000.361944635726,0,31673,5
Rakhine,MMR012,Rathedaung,MMR012008,115917.75145475384,58100,10001,13101,3
Rakhine,MMR012,Thandwe,MMR012015,138185.3388749741,35999.91171640083,0,NA,NA
Rakhine,MMR012,Toungup,MMR012016,163917.80844747147,43999.91720430579,0,NA,NA
Rakhine,MMR012,Gwa,MMR012017,68340.06432105285,11999.988705708112,0,NA,NA
Sagaing,MMR005,Hkamti,MMR005033,50052.78736458388,7653,764.6930044427131,NA,NA
Sagaing,MMR005,Homalin,MMR005034,271180.7044831875,41464,4145.647058499893,NA,NA
Sagaing,MMR005,Kale,MMR005027,366088.59478020685,56195,5620.500044487943,NA,NA
Sagaing,MMR005,Kalewa,MMR005028,59267.67586886143,9062,905.7972813338224,NA,NA
Sagaing,MMR005,Mingin,MMR005029,109607.18132800511,16759,1676.1062042242895,NA,NA
Sagaing,MMR005,Kanbalu,MMR005007,310412.7719640728,47462,4745.788726074859,NA,NA
Sagaing,MMR005,Kyunhla,MMR005008,109317.31248515344,16715,1670.5384196395844,NA,NA
Sagaing,MMR005,Katha,MMR005020,176162.5379959527,26935,2694.474877734948,NA,NA
Sagaing,MMR005,Indaw,MMR005021,126309.298023187,19313,1930.7308707400512,NA,NA
Sagaing,MMR005,Tigyaing,MMR005022,136485.16475648366,20869,2087.141840512734,NA,NA
Sagaing,MMR005,Banmauk,MMR005023,118329.50284932094,18093,1808.7419382527696,NA,NA
Sagaing,MMR005,Kawlin,MMR005024,152598.09152108652,23332,2332.7752023051985,NA,NA
Sagaing,MMR005,Wuntho,MMR005025,77083.05696050264,11786,1179.4001948683065,NA,NA
Sagaing,MMR005,Pinlebu,MMR005026,117594.32824788554,17980,1797.98272125588,NA,NA
Sagaing,MMR005,Mawlaik,MMR005031,53892.49928293797,8240,823.9836862868669,NA,NA
Sagaing,MMR005,Paungbyin,MMR005032,118356.80933451712,18097,1810.324443421459,NA,NA
Sagaing,MMR005,Monywa,MMR005012,390792.56188729784,59752,5974.781736716537,NA,NA
Sagaing,MMR005,Budalin,MMR005013,129746.76440961284,19838,1984.171987084778,NA,NA
Sagaing,MMR005,Ayadaw,MMR005014,163596.30355856032,25014,2500.6125786130374,NA,NA
Sagaing,MMR005,Chaung-U,MMR005015,111279.17842155536,17015,1700.541485562975,NA,NA
Sagaing,MMR005,Lay Shi,MMR005035,11018.166776655537,1685,167.533528801838,2810,1
Sagaing,MMR005,Lahe,MMR005036,57088.40830032074,8729,873.1182531040208,2710,1
Sagaing,MMR005,Nanyun,MMR005037,54591.96540373222,8347,835.288948932148,2130,1
Sagaing,MMR005,Sagaing,MMR005001,322630.3235904986,49330,4932.98235236441,NA,NA
Sagaing,MMR005,Myinmu,MMR005002,112361.98558452666,17180,1717.9852405393876,NA,NA
Sagaing,MMR005,Myaung,MMR005003,111758.09216191898,29794,2979.5686885229857,NA,NA
Sagaing,MMR005,Shwebo,MMR005004,280213.89983596734,42845,4283.529523182369,500,1
Sagaing,MMR005,Khin-U,MMR005005,153816.38086060813,23519,2352.1475458965847,NA,NA
Sagaing,MMR005,Wetlet,MMR005006,206075.74227892887,31509,3151.101903850658,NA,NA
Sagaing,MMR005,Ye-U,MMR005009,124234.00514827788,18995,1900.462173678917,NA,NA
Sagaing,MMR005,Tabayin,MMR005010,147890.87357303873,22613,2260.74857103089,NA,NA
Sagaing,MMR005,Taze,MMR005011,173406.68349000052,26514,2650.611866272992,NA,NA
Sagaing,MMR005,Tamu,MMR005030,120641.10184612,18446,1845.3976384542725,NA,NA
Sagaing,MMR005,Yinmarbin,MMR005016,148589.28944440238,22719,2272.0697665373496,NA,NA
Sagaing,MMR005,Kani,MMR005017,141301.6086453162,24570,2457.013403886237,NA,NA
Sagaing,MMR005,Salingyi,MMR005018,127928.78264520613,19560,1955.9689138488495,NA,NA
Sagaing,MMR005,Pale,MMR005019,151242.21950615355,23125,2311.5065690822457,NA,NA
Shan (East),MMR222,Kengtung,MMR016001,190678.0710663969,70170,25000,2,1
Shan (East),MMR222,Mongkhet,MMR016002,49472.748796437016,7000.010935993042,0,NA,NA
Shan (East),MMR222,Mongyang,MMR016003,119598.77030615482,44012,10000,275,1
Shan (East),MMR222,Mongla,MMR016005,47850.61860323728,6999.989010072383,0,NA,NA
Shan (East),MMR222,Mongping,MMR016007,76476.77232090256,10999.823250005877,0,NA,NA
Shan (East),MMR222,Monghsat,MMR016006,116270.07026586276,42787,10000,276,1
Shan (East),MMR222,Mongton,MMR016008,77872.24870628536,11500.005006632337,0,120,1
Shan (East),MMR222,Tachileik,MMR016009,197003.26777179833,72497,25000,NA,NA
Shan (East),MMR222,Monghpyak,MMR016010,33949.185057131006,4499.891905693609,0,NA,NA
Shan (East),MMR222,Mongyawng,MMR016011,88761.63091419675,12999.88849307263,0,NA,NA
Shan (North),MMR222,Pangwaun,MMR015007,107879.43518432548,21000.19458355443,0,955,1
Shan (North),MMR222,Mongmao,MMR015008,78532.21126434059,14000.070850397218,0,NA,NA
Shan (North),MMR222,Hopang,MMR015021,67885.03753733159,11000.134820677367,0,NA,NA
Shan (North),MMR222,Laukkaing,MMR015022,105382.9101541064,14000.031636486983,0,4137,1
Shan (North),MMR222,Konkyan,MMR015023,66731.76963285124,20999.750961023416,0,NA,NA
Shan (North),MMR222,Kyaukme,MMR015012,191221.37357631105,73689,18421.81763278474,6003,2
Shan (North),MMR222,Nawnghkio,MMR015013,166481.66603385995,61265,15315.68673129252,NA,NA
Shan (North),MMR222,Hsipaw,MMR015014,195720.0072422465,72220,18055.779324188505,118,1
Shan (North),MMR222,Namtu,MMR015015,56022.37721350035,21014,5254.243307624785,578,2
Shan (North),MMR222,Lashio,MMR015001,359318.5035149055,132229,40000,486,2
Shan (North),MMR222,Hseni,MMR015002,62954.20616923541,23336,5834.027032555601,390,1
Shan (North),MMR222,Mongyai,MMR015003,65969.59065166286,24277,6068.79766679279,258,1
Shan (North),MMR222,Tangyan,MMR015004,191994.6630382747,70654,17664.491014127285,NA,NA
Shan (North),MMR222,Kunlong,MMR015020,65300.73970898736,24031,6008.331965114499,NA,NA
Shan (North),MMR222,Pangsang (Panghkam),MMR015005,117739.98687244032,43328,10831.921208308622,NA,NA
Shan (North),MMR222,Narphan,MMR015006,129081.56564790812,47502,11876.495981105403,470,1
Shan (North),MMR222,Matman,MMR015024,21923.200665902245,8068,2017.0655408666244,NA,NA
Shan (North),MMR222,Mongmit,MMR015017,70362.67475023259,25893,6472.633943680719,NA,NA
Shan (North),MMR222,Mabein,MMR015018,52661.4567789598,19379,4845.1459807339925,NA,NA
Shan (North),MMR222,Muse,MMR015009,190888.0591530508,71329,17832.644545071726,3972,4
Shan (North),MMR222,Namhkan,MMR015010,118919.91993078151,32000.474803373258,0,2343,2
Shan (North),MMR222,Kutkai,MMR015011,194046.7688374802,74366,18591.573253793504,2561,2
Shan (North),MMR222,Namhsan,MMR015016,80222.11539026989,18000.159464011853,0,NA,NA
Shan (North),MMR222,Manton,MMR015019,42887.56684089259,11999.434659827964,0,437,2
Shan (South),MMR222,Pindaya,MMR014006,88109.44569268427,32424,150,3843,4
Shan (South),MMR222,Ywangan,MMR014007,91697.01993504175,33745,150,1377,2
Shan (South),MMR222,Langkho,MMR014018,44787.45905347584,12500.163110611034,0,NA,NA
